company,batch,status,team_size,company_id,job_title,role,job_type,job_locations,job_posted,company_one_liner,company_website,yc_profile,company_locations,industries,observed_at
14.ai,Winter 2024,Active,3,29341,Founding engineer,,Full-time,"San Francisco, CA, US",,AI engine powering autonomous brands starting with gloglo.com,https://14.ai,https://www.ycombinator.com/companies/14-ai,"San Francisco, CA, USA","B2B, Infrastructure",2026-06-02T13:30:24+00:00
Accend,Summer 2023,Active,18,28786,Full Stack Engineer,,Full-time,"San Francisco, CA, US; Remote (San Francisco, CA, US)",,AI agents for commercial underwriting at banks and fintechs,https://www.withaccend.com/,https://www.ycombinator.com/companies/accend,,Fintech,2026-06-02T13:30:24+00:00
Afternoon.co,Fall 2024,Active,4,30037,Founding Engineer at Afternoon (F24),,Full-time,"New York, NY, US",,"Bookkeeping, compliance and tax for founders",https://afternoon.co,https://www.ycombinator.com/companies/afternoon-co,"New York, NY, USA","B2B, Finance and Accounting",2026-06-02T13:30:24+00:00
AfterQuery,Winter 2025,Active,30,30303,Software Engineer - Hiring Infra (LatAM),,Full-time,"San Francisco, CA, US; Remote (BR; CL; MX; AR; CO; PE)",,Applied research lab curating data solutions for foundation model…,https://afterquery.com,https://www.ycombinator.com/companies/afterquery,"San Francisco, CA, USA","B2B, Infrastructure",2026-06-02T13:30:24+00:00
AgentCollect,Summer 2023,Active,42,28932,Full-Stack AI Engineer (AI-Native),,Full-time,Remote,,B2B debt collection powered by AI agents,https://www.agentcollect.com,https://www.ycombinator.com/companies/agentcollect,"San Francisco, CA, USA",Fintech,2026-06-02T13:30:24+00:00
AgentMail,Summer 2025,Active,8,30611,"Senior Engineer, Backend/Infra",,Full-time,"San Francisco, CA, US",,Email Inboxes for AI Agents,https://agentmail.to,https://www.ycombinator.com/companies/agentmail,"San Francisco, CA, USA","B2B, Infrastructure",2026-06-02T13:30:24+00:00
Aglide,Summer 2023,Active,6,28933,Forward Deployed Software Engineer (Founding team),,Full-time,"London, England, GB; San Francisco, CA, US",,Connect every disconnected app to your SSO.,https://aglide.com,https://www.ycombinator.com/companies/aglide,"London, United Kingdom",B2B,2026-06-02T13:30:24+00:00
Aglide,Summer 2023,Active,6,28933,Founding Software Engineer,,Full-time,"London, England, GB; San Francisco, CA, US",,Connect every disconnected app to your SSO.,https://aglide.com,https://www.ycombinator.com/companies/aglide,"London, United Kingdom",B2B,2026-06-02T13:30:24+00:00
Aglide,Summer 2023,Active,6,28933,Product Security Engineer (Founding team),,Full-time,"London, England, GB; San Francisco, CA, US",,Connect every disconnected app to your SSO.,https://aglide.com,https://www.ycombinator.com/companies/aglide,"London, United Kingdom",B2B,2026-06-02T13:30:24+00:00
Airweave,Spring 2025,Active,7,30549,"Founding Software Engineer, Data Infrastructure",,Full-time,"Amsterdam, North Holland, NL",,The open-source context retrieval layer for agents,https://airweave.ai,https://www.ycombinator.com/companies/airweave,"San Francisco, CA, USA","B2B, Infrastructure",2026-06-02T13:30:24+00:00
Airweave,Spring 2025,Active,7,30549,"Founding Software Engineer, Full Stack",,Full-time,"Amsterdam, North Holland, NL",,The open-source context retrieval layer for agents,https://airweave.ai,https://www.ycombinator.com/companies/airweave,"San Francisco, CA, USA","B2B, Infrastructure",2026-06-02T13:30:24+00:00
Altur,Summer 2025,Active,4,30738,Senior Software Engineer,,Full-time,"Mexico City, CDMX, MX; Mexico City, Mexico City, MX",,Voice AI Agents for Debt Collection,https://altur.io,https://www.ycombinator.com/companies/altur,"Mexico City, CDMX, Mexico",B2B,2026-06-02T13:30:24+00:00
Anara,Summer 2024,Active,5,29738,"Software Engineer, Backend",,Full-time,San Francisco,,AI for researchers,https://anara.com,https://www.ycombinator.com/companies/anara,"San Francisco, CA, USA","B2B, Productivity",2026-06-02T13:30:24+00:00
Anara,Summer 2024,Active,5,29738,"Software Engineer, Product",,Full-time,San Francisco,,AI for researchers,https://anara.com,https://www.ycombinator.com/companies/anara,"San Francisco, CA, USA","B2B, Productivity",2026-06-02T13:30:24+00:00
Andromeda Surgical,Summer 2023,Active,10,29008,Senior Software engineer,,Full-time,"South San Francisco, CA, US",,Autonomous surgical robots,http://www.andromedasurgical.com,https://www.ycombinator.com/companies/andromeda-surgical,"San Francisco, CA, USA","Healthcare, Medical Devices",2026-06-02T13:30:24+00:00
Andy AI,Winter 2024,Active,5,29386,Founding Engineer - Full Stack,,Full-time,"San Francisco, CA, US",,Faster clinical documentation for home health nurses,https://with-andy.com,https://www.ycombinator.com/companies/andy-ai,"San Francisco, CA, USA","Healthcare, Healthcare IT",2026-06-02T13:30:24+00:00
Andy AI,Winter 2024,Active,5,29386,Founding Engineer - Healthcare AI,,Full-time,"San Francisco, CA, US",,Faster clinical documentation for home health nurses,https://with-andy.com,https://www.ycombinator.com/companies/andy-ai,"San Francisco, CA, USA","Healthcare, Healthcare IT",2026-06-02T13:30:24+00:00
ANORIA,Spring 2026,Active,5,31485,Founding Software Engineer,,Full-time,"CA, US",,The first wearable that reads your emotions to enhance your EQ. ,https://www.anoria.com,https://www.ycombinator.com/companies/anoria,"San Francisco, CA, USA","Consumer, Consumer Electronics",2026-06-02T13:30:24+00:00
Antigen,Fall 2025,Active,3,30999,Infrastructure Engineer,,Full-time,"San Francisco, CA, US",,Continuous offensive security for the enterprise.,https://antigen.sh/,https://www.ycombinator.com/companies/antigen,"San Francisco, CA, USA","B2B, Engineering, Product and Design",2026-06-02T13:30:24+00:00
Artie,Summer 2023,Active,16,28650,Software Engineer - Distributed Systems,,Full-time,"San Francisco, CA, US",,Software that streams data from databases to warehouses in real-time,https://www.artie.com/,https://www.ycombinator.com/companies/artie,"San Francisco, CA, USA","B2B, Infrastructure",2026-06-02T13:30:24+00:00
Artisan,Winter 2024,Active,37,29295,Applied AI,,Full-time,"San Francisco, CA, US; New York, NY, US",,"AI employees called Artisans, starting with an AI BDR",https://artisan.co/?utm_source=ycombinator,https://www.ycombinator.com/companies/artisan,"San Francisco, CA, USA",B2B,2026-06-02T13:30:24+00:00
Arva AI,Summer 2024,Active,14,29973,Senior Full-Stack Product Engineer,,Full-time,"London, England, GB",,"AI Agents to scale AML, KYB and KYC operations",https://www.arva.ai,https://www.ycombinator.com/companies/arva-ai,"London, United Kingdom",B2B,2026-06-02T13:30:24+00:00
Asha Health,Fall 2024,Active,9,30131,"Senior Software Engineer, AI Agents",,Full-time,"New York, NY, US",,We help medical practices become AI-native,https://asha.health,https://www.ycombinator.com/companies/asha-health,"New York, NY, USA",Healthcare,2026-06-02T13:30:24+00:00
